FILE			 PrfOR	 PrfSF	 PrfTF	 RFXctr	 RFYctr	 RFDiam	 GrType	 Onset	 AvgPulseTime	 PulseTimeStdev	 RedFlag	
m60801c1r2.htb	   0.0	  0.03	 2.000	 -10.00	  5.00	 40.00	   1.0	 0.1490	 996.0000		 0.0000	   0.0	
m60803c2r2.htb	   0.0	  0.03	 2.000	 -8.00	  0.00	 40.00	   0.0	 0.1240	 996.0000		 0.0000	   0.0	
m60803c2r2.htb	   0.0	  0.03	 2.000	 -8.00	  0.00	 40.00	   1.0	 0.1220	 996.0000		 0.0000	   0.0	
m60804c1r2.htb	   0.0	  0.03	 2.000	  5.00	 -10.00	 40.00	   0.0	 0.1440	 996.0000		 0.0000	   0.0	
m60804c1r2.htb	   0.0	  0.03	 2.000	  5.00	 -10.00	 40.00	   1.0	 0.1580	 996.0000		 0.0000	   0.0	
m60815c3r2.htb	   0.0	  0.03	 2.000	 10.00	 -10.00	 40.00	   0.0	 0.1530	 996.0000		 0.0000	   1.0	
m60815c3r2.htb	   0.0	  0.03	 2.000	 10.00	 -10.00	 40.00	   1.0	 0.3000	 996.0000		 0.0000	   0.0	
m60816c1r2.htb	   0.0	  0.03	 2.000	  0.00	 -10.00	 40.00	   0.0	 0.5160	 996.0000		 0.0000	   0.0	
m60816c1r2.htb	   0.0	  0.03	 2.000	  0.00	 -10.00	 40.00	   1.0	 -0.4890	 996.0000		 0.0000	   0.0	
m60816c2r2.htb	   0.0	  0.03	 2.000	  0.00	  0.00	 40.00	   0.0	 0.1050	 996.0000		 0.0000	   1.0	
m60816c2r2.htb	   0.0	  0.03	 2.000	  0.00	  0.00	 40.00	   1.0	 0.1260	 996.0000		 0.0000	   0.0	
m60816c2r2.htb	   0.0	  0.03	 2.000	  0.00	  0.00	 40.00	   0.0	 0.1050	 996.0000		 0.0000	   1.0	
m60816c2r2.htb	   0.0	  0.03	 2.000	  0.00	  0.00	 40.00	   1.0	 0.1260	 996.0000		 0.0000	   0.0	
m60816c3r2.htb	   0.0	  0.03	 2.000	 -10.00	 -10.00	 40.00	   0.0	 2.0010	 996.0000		 0.0000	   0.0	
m60816c3r2.htb	   0.0	  0.03	 2.000	 -10.00	 -10.00	 40.00	   1.0	 0.4320	 996.0000		 0.0000	   1.0	
m60818c1r2.htb	 180.0	  0.03	 2.000	 -10.00	 -10.00	 40.00	   0.0	 0.1520	 1073.4000		 2.1705	   0.0	
m60818c1r2.htb	 180.0	  0.03	 2.000	 -10.00	 -10.00	 40.00	   1.0	 0.1950	 1070.5000		 7.8067	   1.0	
m60818c2r2.htb	   0.0	  0.03	 2.000	 10.00	 10.00	 40.00	   0.0	 0.2440	 1074.2000		 1.2293	   0.0	
m60818c2r2.htb	   0.0	  0.03	 2.000	 10.00	 10.00	 40.00	   1.0	 0.0860	 1073.9000		 1.7920	   0.0	
m60818c3r2.htb	   0.0	  0.03	 2.000	 -10.00	  0.00	 40.00	   0.0	 0.4380	 1073.7000		 1.6364	   1.0	
m60818c3r2.htb	   0.0	  0.03	 2.000	 -10.00	  0.00	 40.00	   1.0	 0.0750	 1074.2000		 1.9322	   1.0	
m60821c4r2.htb	   0.0	  0.03	 2.000	  5.00	 -15.00	 40.00	   0.0	 0.0280	 1074.1000		 1.7920	   0.0	
m60821c4r2.htb	   0.0	  0.03	 2.000	  5.00	 -15.00	 40.00	   1.0	 0.1030	 1073.7000		 1.7670	   0.0	
m60821c5r2.htb	   0.0	  0.03	 2.000	  5.00	  5.00	 40.00	   0.0	 0.0420	 1074.1000		 0.9944	   0.0	
m60821c5r2.htb	   0.0	  0.03	 2.000	  5.00	  5.00	 40.00	   1.0	 0.0420	 1073.8000		 1.5492	   0.0	
