FILE			 PrfOR	 PrfSF	 PrfTF	 RFXctr	 RFYctr	 RFDiam	 GrType	 Onset	 AvgPulseTime	 PulseTimeStdev	 RedFlag	
m60803c4r2.htb	   0.0	  0.03	 2.000	  0.00	  0.00	 40.00	   0.0	 0.1250	 996.0000		 0.0000	   0.0	
m60803c4r2.htb	   0.0	  0.03	 2.000	  0.00	  0.00	 40.00	   1.0	 0.1010	 996.0000		 0.0000	   0.0	
m60808c1r2.htb	   0.0	  0.03	 2.000	  5.00	 -10.00	 40.00	   0.0	 0.3220	 996.0000		 0.0000	   1.0	
m60808c1r2.htb	   0.0	  0.03	 2.000	  5.00	 -10.00	 40.00	   1.0	 -0.4890	 996.0000		 0.0000	   0.0	
m60808c2r2.htb	   0.0	  0.03	 2.000	  0.00	  0.00	 40.00	   0.0	 0.2230	 996.0000		 0.0000	   0.0	
m60808c2r2.htb	   0.0	  0.03	 2.000	  0.00	  0.00	 40.00	   1.0	 0.1520	 996.0000		 0.0000	   1.0	
m60809c1r2.htb	   0.0	  0.03	 2.000	  0.00	 -5.00	 40.00	   0.0	 0.2270	 996.0000		 0.0000	   0.0	
m60809c1r2.htb	   0.0	  0.03	 2.000	  0.00	 -5.00	 40.00	   1.0	 0.1180	 996.0000		 0.0000	   0.0	
m60809c2r2.htb	   0.0	  0.03	 2.000	  0.00	 -5.00	 40.00	   0.0	 0.4570	 996.0000		 0.0000	   1.0	
m60809c2r2.htb	   0.0	  0.03	 2.000	  0.00	 -5.00	 40.00	   1.0	 0.2340	 996.0000		 0.0000	   1.0	
m60809c3r2.htb	   0.0	  0.03	 2.000	  5.00	  0.00	 40.00	   0.0	 0.5750	 996.0000		 0.0000	   1.0	
m60809c3r2.htb	   0.0	  0.03	 2.000	  5.00	  0.00	 40.00	   1.0	 0.1430	 996.0000		 0.0000	   0.0	
m60809c4r2.htb	   0.0	  0.03	 2.000	 10.00	  2.00	 40.00	   0.0	 0.1460	 996.0000		 0.0000	   0.0	
m60809c4r2.htb	   0.0	  0.03	 2.000	 10.00	  2.00	 40.00	   1.0	 0.1310	 996.0000		 0.0000	   0.0	
m60809c5r2.htb	   0.0	  0.03	 2.000	  0.00	  0.00	 40.00	   0.0	 0.1270	 996.0000		 0.0000	   1.0	
m60809c5r2.htb	   0.0	  0.03	 2.000	  0.00	  0.00	 40.00	   1.0	 0.3110	 996.0000		 0.0000	   0.0	
m60810c1r2.htb	   0.0	  0.03	 2.000	 10.00	 -5.00	 40.00	   0.0	 0.2240	 996.0000		 0.0000	   1.0	
m60810c1r2.htb	   0.0	  0.03	 2.000	 10.00	 -5.00	 40.00	   1.0	 0.1150	 996.0000		 0.0000	   1.0	
m60810c2r2.htb	   0.0	  0.03	 2.000	  0.00	  5.00	 40.00	   0.0	 0.1290	 996.0000		 0.0000	   0.0	
m60810c2r2.htb	   0.0	  0.03	 2.000	  0.00	  5.00	 40.00	   1.0	 0.1260	 996.0000		 0.0000	   0.0	
m60810c3r2.htb	   0.0	  0.03	 2.000	  5.00	 -10.00	 40.00	   0.0	 0.2120	 996.0000		 0.0000	   0.0	
m60810c3r2.htb	   0.0	  0.03	 2.000	  5.00	 -10.00	 40.00	   1.0	 0.1500	 996.0000		 0.0000	   1.0	
m60810c4r2.htb	   0.0	  0.03	 2.000	  5.00	 -5.00	 40.00	   0.0	 0.1490	 996.0000		 0.0000	   0.0	
m60810c4r2.htb	   0.0	  0.03	 2.000	  5.00	 -5.00	 40.00	   1.0	 0.1460	 996.0000		 0.0000	   0.0	
m60810c5r2.htb	   0.0	  0.03	 2.000	 -5.00	 -10.00	 40.00	   0.0	 2.0010	 996.0000		 0.0000	   0.0	
m60810c5r2.htb	   0.0	  0.03	 2.000	 -5.00	 -10.00	 40.00	   1.0	 0.2040	 996.0000		 0.0000	   1.0	
m60811c1r2.htb	   0.0	  0.03	 2.000	  0.00	  0.00	 40.00	   0.0	 0.1070	 996.0000		 0.0000	   0.0	
m60811c1r2.htb	   0.0	  0.03	 2.000	  0.00	  0.00	 40.00	   1.0	 0.1080	 996.0000		 0.0000	   0.0	
m60811c2r2.htb	   0.0	  0.03	 2.000	 -5.00	 -8.00	 40.00	   0.0	 0.2670	 996.0000		 0.0000	   0.0	
m60811c2r2.htb	   0.0	  0.03	 2.000	 -5.00	 -8.00	 40.00	   1.0	 0.1280	 996.0000		 0.0000	   0.0	
m60811c3r2.htb	   0.0	  0.03	 2.000	  0.00	  5.00	 40.00	   0.0	 0.1400	 996.0000		 0.0000	   0.0	
m60811c3r2.htb	   0.0	  0.03	 2.000	  0.00	  5.00	 40.00	   1.0	 0.1410	 996.0000		 0.0000	   0.0	
m60811c4r2.htb	   0.0	  0.03	 2.000	  0.00	  0.00	 40.00	   0.0	 0.1360	 996.0000		 0.0000	   0.0	
m60811c4r2.htb	   0.0	  0.03	 2.000	  0.00	  0.00	 40.00	   1.0	 0.2070	 996.0000		 0.0000	   0.0	
m60811c5r2.htb	   0.0	  0.03	 2.000	 10.00	  5.00	 40.00	   0.0	 0.3990	 996.0000		 0.0000	   0.0	
m60811c5r2.htb	   0.0	  0.03	 2.000	 10.00	  5.00	 40.00	   1.0	 -0.4890	 996.0000		 0.0000	   0.0	
m60815c1r2.htb	   0.0	  0.03	 2.000	  8.00	 -10.00	 40.00	   0.0	 -0.4890	 996.0000		 0.0000	   0.0	
m60815c1r2.htb	   0.0	  0.03	 2.000	  8.00	 -10.00	 40.00	   1.0	 -0.4890	 996.0000		 0.0000	   0.0	
m60815c2r2.htb	   0.0	  0.03	 2.000	 10.00	 -10.00	 40.00	   0.0	 0.2270	 996.0000		 0.0000	   1.0	
