FILE		       PrDir	 PrSpd	 PrHDsp	 RFX	       RFY	      RFDiam	 ZerSpd	 ZerRsp	 MaxSpd	 MaxRsp	 MinSpd	 MinRsp	 Spont	 SpdMI	 AnovaP	 Rmeans	 Pmeans	  Rraw	 Praw		 SDI	       VarTrm	  R0	         K	       alpha	tau		 expon	Chi2		 ChiP		  Npts	   Npars	 FitErr	
m60724c2r8.htb	  150.0	  20.00	  0.000	  -5.00	   5.00	  40.00	   0.0	   2.94	 34.950	   8.15	  0.000	   2.95	   1.00	  0.647	 0.00000001	  0.995	 0.00000000	  0.471	 0.00000000	 0.5755	  0.443	   0.09	   8.06	  0.0279718	 -8.0960009	  1.2040549	  0.12007	 0.99826831	     90	      5	 16.1024	
m60724c3r8.htb	  150.0	  20.00	  0.000	   0.00	   0.00	  40.00	   0.0	   5.47	 57.750	   9.48	  0.000	   4.81	   2.49	  0.559	 0.00000026	  0.908	 0.00007213	  0.382	 0.00000000	 0.5584	  0.420	   1.49	   7.98	  0.0066037	 -2.5500057	  0.3983282	  0.90467	 0.92389012	     90	      5	 15.4491	
m60724c4r8.htb	  150.0	  20.00	  0.000	   0.00	  -3.00	  40.00	   0.0	   5.47	 53.350	   8.91	  0.000	   4.87	   2.59	  0.517	 0.01352288	  0.860	 0.00032009	  0.336	 0.00002984	 0.5279	  0.409	   4.87	   4.05	  0.0939938	 -2.9367349	  5.2910995	  2.52856	 0.63952910	     45	      5	 6.6822	
m60724c5r8.htb	  150.0	  20.00	  0.000	  -5.00	 -10.00	  40.00	   0.0	  21.96	  8.450	  30.84	  0.000	  20.53	  14.23	  0.300	 0.00000243	  0.827	 0.00067251	  0.224	 0.00000001	 0.4408	  0.602	  24.56	   6.28	  0.1361984	  1.3657546	  0.9643109	  0.68576	 0.95307461	    135	      5	 48.6263	
m60724c6r8.htb	   50.0	  20.00	  0.000	  -5.00	 -10.00	  40.00	   0.0	   8.86	 64.000	  16.16	  0.000	   8.56	   8.16	  0.461	 0.00544374	  0.745	 0.00273008	  0.319	 0.00005233	 0.5326	  0.490	   7.00	  11.34	  0.0004420	 -0.0071242	  0.1974216	  7.09150	 0.13113141	     45	      5	 10.3168	
m60725c1r8.htb	    0.0	  20.00	  0.000	 -10.00	  -8.00	  40.00	   0.0	   4.63	 29.350	   8.94	  0.000	   4.78	   2.29	  0.505	 0.00077045	  0.825	 0.00070224	  0.225	 0.00000226	 0.4405	  0.548	   2.42	   6.52	  0.0131416	 -0.8805788	  0.3972112	  1.18023	 0.88134237	     90	      5	 26.2703	
m60725c2r8.htb	    0.0	  20.00	  0.000	   8.00	   0.00	  40.00	   0.0	  14.68	 36.050	  20.10	  0.000	  14.01	  10.70	  0.340	 0.00990832	  0.860	 0.00031620	  0.183	 0.00002557	 0.4294	  0.569	  11.22	   8.88	  0.0533038	 -20.0000000  2.9875102	  0.36799	 0.98501301	     90	      5	 27.2384	
m60726c1r8.htb	    0.0	  20.00	  0.000	   5.00	 -10.00	  40.00	   0.0	  10.15	 15.200	  16.92	  0.000	   8.83	   0.75	  0.461	 0.00000453	  0.885	 0.00015551	  0.331	 0.00000000	 0.5075	  0.545	   9.91	   7.01	  0.0557258	  0.6383371	  0.8112785	  0.51878	 0.97168977	     90	      5	 25.8602	
m60726c2r8.htb	    0.0	  20.00	  0.000	   5.00	  -5.00	  20.00	   0.0	  17.41	  9.650	  28.75	 64.000	  16.20	   4.43	  0.399	 0.00002639	  0.974	 0.00000082	  0.333	 0.00000000	 0.4695	  0.694	  15.81	  12.94	  0.0980325	 -0.1756781	  0.9651900	  0.24385	 0.99314465	     90	      5	 39.4752	
m60726c3r8.htb	    0.0	  20.00	  0.000	   0.00	  -5.00	  40.00	   0.0	  11.39	  8.050	  14.70	 64.000	   6.28	   0.60	  0.547	 0.00005866	  0.976	 0.00000065	  0.318	 0.00000001	 0.5330	  0.567	   5.76	   8.94	  0.0803699	 -3.6802117	  0.9438904	  0.02703	 0.99990951	     90	      5	 26.1651	
